State,Bill,ISSUE ,Status,Status Detail
Indiana,HB 1524,Accurate IDs,Advancing,"Referred to committee, 01/19/2023"
Indiana,SB 487,Other Anti-LGBTQ Bills,Advancing,"First read and referred to committee, 01/19/2023"
Iowa,SF 83,Schools & Education,Defeated,"Missed committee deadline, 03/03/2023"
Iowa,HF 8,Schools & Education,Defeated,"Withdrawn, 03/08/2023"
Iowa,HF 9,Schools & Education,Advancing,"Passed subcommittee 1/31/23; renumbered as HF 180, 02/01/2023"
Iowa,SF 110,Healthcare,Advancing,"Assigned to subcommittee, 01/24/2023"
Iowa,SF 129,"Schools & Education, Healthcare, Other Anti-LGBTQ Bills",Defeated,"Missed committee deadline, 03/03/2023"
Iowa,SF 159,Schools & Education,Defeated,"Missed committee deadline, 03/03/2023"
Iowa,HF 180,Schools & Education,Advancing,"Placed on calendar, 02/01/2023"
Iowa,HF 190,Civil Rights,Advancing,"Referred to committee, 02/02/2023"
Iowa,SF 212,Civil Rights,Defeated,"Missed committee deadline, 03/03/2023"
Iowa,HF 229,Civil Rights,Defeated,"Missed committee deadline, 03/03/2023"
Iowa,HF 325,"Public Accommodations, Civil Rights",Defeated,"Missed committee deadline, 03/03/2023"
Iowa,HF 290,Accurate IDs,Defeated,"Missed committee deadline, 03/03/2023"
Iowa,SSB 1145,Schools & Education,Advancing,"Bill renumbered SF 496, 03/02/2023"
Iowa,SF 335,Schools & Education,Advancing,"Renumbered as SF 482, 03/02/2023"
Iowa,SF 297,Civil Rights,Advancing,"Committee recommends passage, 03/06/2023"
Iowa,HF 348,Schools & Education,Advancing,"Passed House; Senate referred to subcommittee, 03/15/2023"
Iowa,SF 348,Free Speech & Expression,Defeated,"Missed committee deadline, 03/03/2023"
Iowa,SSB 1197,Healthcare,Defeated,"Bill renumbered SF 538, 03/02/2023"
Iowa,HSB 214,Healthcare,Defeated,"Bill renumbered HF 623, 03/02/2023"
Iowa,HSB 222,Schools & Education,Defeated,"Missed committee deadline, 03/03/2023"
Iowa,HF 482,Schools & Education,Defeated,"Missed committee deadline, 03/03/2023"
Iowa,HSB 208,Schools & Education,Advancing,"Renumbered HF 622, 03/03/2023"
Iowa,HF 508,"Civil Rights, Other Anti-LGBTQ Bills",Advancing,"Referred to committee, 02/28/2023"
Iowa,HF 622,Schools & Education,Defeated,"Withdrawn, 03/16/2023"
Iowa,SF 496,Schools & Education,Advancing,"Passed Senate; House committee recommends passage as amended, 03/30/2023"
Iowa,SF 482,Schools & Education,Passed into Law,"Governor signed, 03/22/2023"
Iowa,HF 623,Healthcare,Defeated,"SF 538 substituted and bill withdrawn, 03/08/2023"
Iowa,HF 616,Other Anti-LGBTQ Bills,Defeated,"Missed committee deadline, 03/03/2023"
Iowa,SF 538,Healthcare,Passed into Law,"Governor signed, 03/22/2023"
Kansas,SB 12,Healthcare,Advancing,"Committee hearing completed, 02/14/2023"
Kansas,HB 2238,Schools & Education,Advancing,"Vetoed by Governor; returned to House, 03/17/2023"
Kansas,SB 149,Free Speech & Expression,Advancing,"Referred to committee, 02/03/2023"
Kansas,SB 180,Other Anti-LGBTQ Bills,Advancing,"Passed Senate and House as amended, 03/29/2023"
Kansas,SB 201,Free Speech & Expression,Advancing,"Referred to committee, 02/08/2023"
Kansas,SB 207,"Schools & Education, Civil Rights",Advancing,"Referred to committee, 02/09/2023"
Kansas,SB 224,Other Anti-LGBTQ Bills,Advancing,"Committee hearing 3/7/23 through, 03/08/2023"
Kansas,SB 233,Healthcare,Advancing,"Passed Senate; referred to House committee, 03/01/2023"
Kansas,HB 2404,Other Anti-LGBTQ Bills,Advancing,"Referred to committee, 02/10/2023"
Kansas,SB 255,Schools & Education,Advancing,"Committee hearing, 03/22/2023"
Kansas,HB 2427,"Public Accommodations, Schools & Education",Advancing,"Committee recommends passage as amended, 03/27/2023"
Kansas,SB 228,Other Anti-LGBTQ Bills,Advancing,"Passed Senate; House passed as amended, 03/27/2023"
Kansas,HB 2263,Healthcare,Advancing,"Passed Senate as amended; House referred to committee, 03/28/2023"
Kentucky,HB 120,Healthcare,Advancing,"Introduced and referred to committee, 01/05/2023"
Kentucky,HB 58,Civil Rights,Introduced,1/3/2023
Kentucky,HB 30,Schools & Education,Advancing,"Introduced and referred to committee, 01/03/2023"
Kentucky,HB 173,Schools & Education,Defeated,"Withdrawn, 03/13/2023"
Kentucky,HB 177,Schools & Education,Advancing,"Referred to committee, 02/23/2023"
Kentucky,SB 102,Schools & Education,Advancing,"Referred to committee, 02/10/2023"
Kentucky,SB 150,"Healthcare, Schools & Education",Passed into Law,"Governor veto overridden, 03/29/2023"
Kentucky,SB 115,Free Speech & Expression,Advancing,"Passed Senate; House first read and returned to committee, 03/16/2023"
Kentucky,SB 145,Schools & Education,Passed into Law,"Governor signed, 03/24/2023"
Kentucky,HB 470,"Healthcare, Schools & Education, Accurate IDs",Advancing,"Passed House; Senate third read as amended, 03/15/2023"
Kentucky,HB 585,Accurate IDs,Advancing,"Introduced to committee, 02/22/2023"
Louisiana,HB 81,Schools & Education,Introduced,"Provisionally referred to committee, 03/13/2023"
Maine,HP 447,Schools & Education,Advancing,"Referred to committee, 02/16/2023"
Maine,LD 678,Schools & Education,Advancing,"Referred to committee, 02/28/2023"
Maine,HP 577,Schools & Education,Advancing,"Referred to committee, 03/02/2023"
Maine,LD 930,Schools & Education,Advancing,"Referred to committee, 03/02/2023"
Maryland,HB 359,Schools & Education,Defeated,"Unfavorable committee report, 02/20/2023"
Massachusetts,H. 509,Schools & Education,Advancing,"Senate concurred, 02/16/2023"
Massachusetts,H. 458,Schools & Education,Advancing,"Senate concurred, 02/16/2023"
Michigan,HB 4075,Civil Rights,Advancing,"Notice given to discharge committee, 03/15/2023"
Michigan,HB 4195,Schools & Education,Advancing,"First read and referred to committee, 03/07/2023"
Michigan,HB 4257,Healthcare,Advancing,"First read and referred to committee, 03/09/2023"
Minnesota,HF 551,Schools & Education,Advancing,"First read and referred to committee, 01/19/2023"
Minnesota,SF 724,Schools & Education,Introduced,"First read and referred to committee, 01/25/2023"
Minnesota,SF 933,Free Speech & Expression,Advancing,"Referred to committee, 01/30/2023"
Minnesota,HF 1086,Schools & Education,Advancing,"First read and referred to committee, 01/30/2023"
Minnesota,HF 1903,Free Speech & Expression,Advancing,"Referred to committee, 02/16/2023"
Minnesota,HF 3022,Schools & Education,Advancing,"First read and referred to committee, 03/20/2023"
Mississippi,SB 2864,Healthcare,Defeated,"Died in committee, 01/31/2023"
Mississippi,HB 1127,Healthcare,Defeated,"Died in committee, 01/31/2023"
Mississippi,HB 1125,Healthcare,Passed into Law,"Governor signed, 02/28/2023"
Mississippi,HB 456,Healthcare,Defeated,"Died in committee, 01/31/2023"
Mississippi,HB 576,Healthcare,Defeated,"Died in committee, 01/31/2023"
Mississippi,SB 2765,Schools & Education,Defeated,"Died in committee, 01/31/2023"
Mississippi,SB 2076,Schools & Education,Defeated,"Died in committee, 01/31/2023"
Mississippi,HB 509,Schools & Education,Defeated,"Died in committee, 01/31/2023"
Mississippi,SB 2773,Schools & Education,Defeated,"Died in committee, 01/31/2023"
Mississippi,HB 1144,Schools & Education,Defeated,"Died in committee, 01/31/2023"
Mississippi,SB 2058,Schools & Education,Defeated,"Died in committee, 01/31/2023"
Mississippi,SB 2820,Schools & Education,Defeated,"Died in committee, 01/31/2023"
Mississippi,SB 2764,Schools & Education,Defeated,"Died in committee, 01/31/2023"
Mississippi,HB 1074,"Schools & Education, Other Anti-LGBTQ Bills",Defeated,"Died in committee, 01/31/2023"
Mississippi,HB 1489,Schools & Education,Defeated,"Died in committee, 01/31/2023"
Mississippi,HB 1476,Schools & Education,Defeated,"Died in committee, 01/31/2023"
Mississippi,HB 1480,Schools & Education,Defeated,"Died in committee, 01/31/2023"
Mississippi,HB 1124,Healthcare,Defeated,"Died in committee, 01/31/2023"
Mississippi,SB 2760,Healthcare,Defeated,"Died in committee, 01/31/2023"
Mississippi,SB 2770,Healthcare,Defeated,"Died in committee, 01/31/2023"
Mississippi,HB 1126,Healthcare,Defeated,"Died in committee, 01/31/2023"
Mississippi,HB 1258,Healthcare,Defeated,"Died in committee, 01/31/2023"
Mississippi,SB 2883,Healthcare,Defeated,"Died in committee, 01/31/2023"
Mississippi,SB 2861,Healthcare,Defeated,"Died in committee, 01/31/2023"
Missouri,HB 540,Healthcare,Advancing,"Committee hearing completed, 01/24/2023"
Missouri,HB 463,Healthcare,Advancing,"Committee hearing completed, 01/24/2023"
Missouri,HB 419,Healthcare,Advancing,"Placed on informal perfection calendar, 03/22/2023"
Missouri,SB 236,Healthcare,Advancing,"Combined with SB 49 & 164, 02/20/2023"
Missouri,SB 164,Healthcare,Advancing,"Combined with SB 49 & SB 236, 02/20/2023"
Missouri,SB 49,Healthcare,Advancing,"Passed Senate; House second read and referred to committee, 03/24/2023"
Missouri,HB 192,"Schools & Education, Civil Rights",Advancing,"Second read, 01/05/2023"
Missouri,HB 489,Other Anti-LGBTQ Bills,Advancing,"Passed committee, 03/28/2023"
Missouri,SB 497,Schools & Education,Advancing,"Second read and referred to committee, 03/23/2023"
Missouri,HB 732,Other Anti-LGBTQ Bills,Advancing,"Second read, 01/11/2023"
Missouri,SB 258,Other Anti-LGBTQ Bills,Advancing,"Second read and referred to committee, 02/09/2023"
Missouri,SB 87,Schools & Education,Advancing,"Committee hearing, 01/31/2023"
Missouri,SB 134,Schools & Education,Advancing,"Passed committee, 02/14/2023"
Missouri,HB 494,Free Speech & Expression,Advancing,"Public hearing completed, 01/24/2023"
Missouri,HB 498,Free Speech & Expression,Advancing,"Public hearing completed, 01/24/2023"
Missouri,SB 429,Free Speech & Expression,Advancing,"Second read and referred to committee, 03/02/2023"
Missouri,HB 916,Healthcare,Advancing,"Referred to committee, 01/25/2023"
Missouri,HB 634,Schools & Education,Advancing,"Public hearing completed, 03/01/2023"
Missouri,SB 165,Schools & Education,Advancing,"Committee hearing, 01/31/2023"
Missouri,SB 39,Schools & Education,Advancing,"Passed Senate; House second read and referred to committee, 03/24/2023"
Missouri,HB 337,Schools & Education,Advancing,"Hearing completed, 01/24/2023"
Missouri,HB 183,Schools & Education,Advancing,"Placed on Informal Calendar for Perfection, 03/22/2023"
Missouri,SB 29,Schools & Education,Advancing,"Hearing completed, 01/31/2023"
Missouri,HB 170,Schools & Education,Advancing,"Hearing completed, 01/24/2023"
Missouri,SB 48,Schools & Education,Advancing,"Hearing completed, 01/31/2023"
Missouri,SB 2,Schools & Education,Advancing,"Hearing completed, 01/31/2023"
Missouri,SB 42,Schools & Education,Advancing,"Passed Senate; House referred to committee, 03/28/2023"
Missouri,SB 598,Healthcare,Advancing,"First read, 02/06/2023"
Missouri,SB 390,Schools & Education,Advancing,"Second read and referred to committee, 03/02/2023"
Missouri,HB 75,Schools & Education,Advancing,"Referred to committee, 02/15/2023"
Missouri,HB 1157,Civil Rights,Advancing,"Second read, 02/15/2023"
Missouri,SB 693,Free Speech & Expression,Advancing,"First read, 02/28/2023"
Missouri,HB 1332,Healthcare,Advancing,"Second read, 03/01/2023"
Missouri,HB 1258,"Schools & Education, Civil Rights",Advancing,"Second read, 02/27/2023"
Missouri,HB 1333,Other Anti-LGBTQ Bills,Advancing,"Second read, 03/01/2023"
Montana,HB 359,Free Speech & Expression,Advancing,"Passed House; Senate committee hearing, 04/04/2023"
Montana,SB 99,Healthcare,Advancing,"Passed Senate and House, 03/29/2023"
Montana,HB 303,Civil Rights,Advancing,"Passed House; Senate committee hearing, 03/27/2023"
Montana,SB 337,Schools & Education,Defeated,"Missed deadline for general bill transmittal, 03/13/2023"
Montana,SB 413,Schools & Education,Defeated,"Missed deadline for general bill transmittal, 03/13/2023"
Montana,SB 458,Other Anti-LGBTQ Bills,Advancing,"Passed Senate; House first read and referred to committee, 03/22/2023"
Montana,HB 837,Schools & Education,Advancing,"Tabled in committee, 03/29/2023"
Montana,SB 518,Schools & Education,Advancing,"Committee hearing, 03/27/2023"
Nebraska,LB 371,Free Speech & Expression,Advancing,"Committee hearing, 03/24/2023"
Nebraska,LB 574,Healthcare,Advancing,"Placed on Select File, 03/24/2023"
Nebraska,LB 575,Schools & Education,Advancing,"Recommitted to committee, 03/30/2023"
Nebraska,LB 810,Civil Rights,Advancing,"Hearing completed, 02/10/2023"
Nevada,SB 288,Other Anti-LGBTQ Bills,Advancing,"Referred to committee, 03/09/2023"
Nevada,AB 374,Schools & Education,Advancing,"Referred to committee, 03/23/2023"
New Hampshire,HB 396,Other Anti-LGBTQ Bills,Advancing,"Retained in committee, 02/09/2023"
New Hampshire,HB 619,"Healthcare, Schools & Education",Defeated,"Retained in committee, 03/15/2023"
New Hampshire,SB 272,Schools & Education,Advancing,"Passed Senate; House public hearing, 04/18/2023"
New Hampshire,HB 417,Healthcare,Advancing,"Inexpedient to legislate, 03/22/2023"
New Jersey,S 3076,Healthcare,Introduced,"Active, 01/10/2023"
New Jersey,A 1630,Schools & Education,Advancing,"Introduced and referred to committee, 01/11/2023"
New Jersey,S 589,Schools & Education,Advancing,"Introduced and referred to committee, 01/11/2023"
New Jersey,A 1418,Schools & Education,Advancing,"Referred to committee, 01/11/2023"
New Jersey,S 585,Schools & Education,Advancing,"Referred to committee, 01/11/2023"
New Jersey,A 328,Civil Rights,Introduced,"Active, 01/10/2023"
New Mexico,HB 492,Schools & Education,Advancing,"Referred to committee, 02/16/2023"
North Carolina,S. 49,Schools & Education,Advancing,"Passed Senate; first read and referred to House committee, 02/07/2023"
North Carolina,H. 43,Healthcare,Advancing,"Referred to committee, 02/06/2023"
North Carolina,S 585,Free Speech & Expression,Advancing,"First read and referred to committee, 03/02/2023"
North Dakota,HB 1473,"Schools & Education, Public Accommodations",Advancing,"Passed House; Senate committee hearing, 03/28/2023"
North Dakota,HB 1205,Free Speech & Expression,Advancing,"Passed Senate as amended and returned to House, 03/30/2023"
North Dakota,HB 1139,Accurate IDs,Advancing,"Passed House; referred to Senate committee, 03/28/2023"
North Dakota,HB 1254,Healthcare,Advancing,"Passed House; Senate committee hearing, 03/29/2023"
North Dakota,SB 2260,Schools & Education,Advancing,"Passed Senate; House committee hearing, 03/22/2023"
North Dakota,SB 2231,"Schools & Education, Other Anti-LGBTQ Bills",Advancing,"Senate override of Governor’s veto, 03/30/2023"
North Dakota,HB 1249,Schools & Education,Advancing,"Passed House; Senate committee hearing, 03/28/2023"
North Dakota,HB 1333,Free Speech & Expression,Advancing,"Passed House; Senate committee hearing, 03/27/2023"
North Dakota,HB 1301,Healthcare,Defeated,"Failed to pass House, 02/17/2023"
North Dakota,HB 1522,Schools & Education,Advancing,"Passed House; Senate committee hearing, 03/21/2023"
North Dakota,HB 1489,Schools & Education,Advancing,"Passed House; Senate committee hearing, 03/28/2023"
North Dakota,HB 1488,Schools & Education,Advancing,"Passed House; Senate second hearing failed to pass, 03/20/2023"
North Dakota,SB 2188,Schools & Education,Defeated,"Second reading, failed to pass, 02/08/2023"
North Dakota,HB 1297,Accurate IDs,Advancing,"Passed House; Senate committee hearing, 03/28/2023"
North Dakota,HB 1474,Other Anti-LGBTQ Bills,Advancing,"Passed House; Senate committee hearing, 03/29/2023"
North Dakota,HB 1111,Other Anti-LGBTQ Bills,Advancing,"Passed Senate as amended and transmitted to House, 03/30/2023"
North Dakota,HB 1526,Schools & Education,Advancing,"Second reading, failed to pass, 02/15/2023"
Ohio,HB 68,Healthcare,Advancing,"Referred to committee, 02/28/2023"
Ohio,HB 6,Schools & Education,Advancing,"Referred to committee, 02/16/2023"
Ohio,HB 8,Schools & Education,Advancing,"Referred to committee, 02/16/2023"
Ohio,SB 83,Other Anti-LGBTQ Bills,Advancing,"Referred to committee, 03/21/2023"
Oklahoma,SB 404,Civil Rights,Advancing,"Passed Senate; House first read, 03/08/2023"
Oklahoma,SB 614,Healthcare,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 613,Healthcare,Advancing,"Passed Senate; House second read and referred to committee, 03/29/2023"
Oklahoma,HB 1377,Healthcare,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 408,Other Anti-LGBTQ Bills,Advancing,"Passed Senate; House second read and referred to committee, 03/29/2023"
Oklahoma,SB 252,Healthcare,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 345,Healthcare,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 250,Healthcare,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 1007,Schools & Education,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,HB 2186,Civil Rights,Advancing,"Committee passed as amended, 02/23/2023"
Oklahoma,HB 1011,Healthcare,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 786,Healthcare,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 787,Healthcare,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 129,Healthcare,Advancing,"Passed committee as amended, 03/01/2023"
Oklahoma,SB 788,Healthcare,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 789,Healthcare,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,HB 1466,Healthcare,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 878,Healthcare,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,HB 2177,Healthcare,Advancing,"Passed House; Senate second read and referred to committee, 03/23/2023"
Oklahoma,SB 937,Schools & Education,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 935,Schools & Education,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 887,Other Anti-LGBTQ Bills,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 30,Schools & Education,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 1004,Other Anti-LGBTQ Bills,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 131,Schools & Education,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 26,Schools & Education,Advancing,"Passed Senate; House second read, 03/29/2023"
Oklahoma,SB 973,Schools & Education,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 932,Schools & Education,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,HB 2736,Free Speech & Expression,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,HB 1780,Schools & Education,Advancing,"Re-referred to rules committee, 02/16/2023"
Oklahoma,HB 1781,Schools & Education,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 1017,Schools & Education,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 933,Schools & Education,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,SB 943,Schools & Education,Advancing,"Second read and referred to committee, 02/07/2023"
Oklahoma,HB 1449,Other Anti-LGBTQ Bills,Advancing,"Passed House; Senate second read, 03/30/2023"
Oregon,HB 3044,Schools & Education,Advancing,"Referred to committee, 01/20/2023"
Oregon,HB 2186,Schools & Education,Advancing,"Referred to committee, 01/12/2023"
Oregon,SB 453,Schools & Education,Advancing,"Referred to committee, 01/11/2023"
Oregon,SB 749,Schools & Education,Advancing,"Referred to committee, 01/17/2023"
Oregon,SB 452,Healthcare,Advancing,"Referred to committee, 01/14/2023"
Oregon,HB 2477,Schools & Education,Advancing,"Referred to committee, 01/11/2023"
Oregon,SB 897,Healthcare,Advancing,"First read and referred to committee, 02/13/2023"
Pennsylvania,HB 138,Healthcare,Advancing,"Referred to committee, 03/08/2023"
Pennsylvania,HB 216,Schools & Education,Advancing,"Referred to committee, 03/08/2023"
Pennsylvania,HB 319,Schools & Education,Advancing,"Referred to committee, 03/13/2023"
Rhode Island,SB 391,Schools & Education,Advancing,"Referred to committee, 02/16/2023"
Rhode Island,HB 5688,Schools & Education,Advancing,"Committee held for further study, 03/29/2023"
South Carolina,H 3466,Schools & Education,Advancing,"Referred to committee, 01/10/2023"
South Carolina,H. 3616,Free Speech & Expression,Advancing,"Referred to committee, 01/11/2023"
South Carolina,S. 364,Accurate IDs,Advancing,"Referred to committee, 01/10/2023"
South Carolina,S. 274,"Schools & Education, Healthcare",Advancing,"Referred to committee, 01/10/2023"
South Carolina,H. 3197,Schools & Education,Advancing,"Referred to committee, 01/10/2023"
South Carolina,H. 3485,Schools & Education,Advancing,"Referred to committee, 01/10/2023"
South Carolina,S. 276,Other Anti-LGBTQ Bills,Advancing,"Referred to committee, 01/10/2023"
South Carolina,S. 424,"Schools & Education, Other Anti-LGBTQ Bills",Advancing,"Referred to committee, 01/19/2023"
South Carolina,S. 243,Healthcare,Advancing,"Referred to committee, 01/10/2023"
South Carolina,H. 3551,"Healthcare, Schools & Education",Advancing,"Referred to committee, 01/10/2023"
South Carolina,S. 234,Schools & Education,Advancing,"Referred to committee, 01/19/2023"
South Carolina,H. 3827,Schools & Education,Advancing,"Referred to committee , 01/26/2023"
South Carolina,H. 3611,Civil Rights,Advancing,"Referred to committee, 01/11/2023"
South Carolina,H. 3304,Schools & Education,Advancing,"Referred to committee, 01/10/2023"
South Carolina,H. 3801,Civil Rights,Advancing,"Referred to committee, 01/25/2023"
South Carolina,H. 3728,Schools & Education,Advancing,"Passed House; referred to Senate committee, 02/09/2023"
South Carolina,S. 627,"Healthcare, Schools & Education",Advancing,"First read and referred to committee, 03/14/2023"
South Carolina,S. 623,Accurate IDs,Advancing,"First read and referred to committee, 03/14/2023"
South Dakota,HB 1080,Healthcare,Passed into Law,"Governor signed, 02/13/2023"
